"0",,,,,,
"Scientific domain","Life Sciences",,"Equivalent(s)
profession(s)
defined by
ISCO
classification",,"2.2.1",
"Scientific domain","Life Sciences",,"Category with
available data
in Eurostat",,"2.2",
"Scientific domain","Life Sciences",,"Total Yearly Salary Costs of
similar professions (data
from Eurostat)","Male",,"37.111 €"
"Scientific domain","Life Sciences",,"Total Yearly Salary Costs of
similar professions (data
from Eurostat)","Female",,"28.705 €"
"Scientific domain","Mathematics",,"Total Yearly Salary Costs of
Researchers (data from the
study)","Male",,"45.389 €"
"Scientific domain","Mathematics",,"Total Yearly Salary Costs of
Researchers (data from the
study)","Female",,"41.107 €"
"Scientific domain","Mathematics",,"Equivalent(s)
profession(s)
defined by
ISCO
classification",,"2.1.2",
"Scientific domain","Mathematics",,"Category with
available data
in Eurostat",,"2.1",
"Scientific domain","Mathematics",,"Total Yearly Salary Costs of
similar professions (data
from Eurostat)","Male",,"42.138 €"
"Scientific domain","Mathematics",,"Total Yearly Salary Costs of
similar professions (data
from Eurostat)","Female",,"31.056 €"
"Scientific domain","Information Sciences",,"Total Yearly Salary Costs of
Researchers (data from the
study)","Male",,"26.059 €"
"Scientific domain","Information Sciences",,"Total Yearly Salary Costs of
Researchers (data from the
study)","Female",,"25.893 €"
"Scientific domain","Information Sciences",,"Equivalent(s)
profession(s)
defined by
ISCO
classification",,"2.1.3",
"Scientific domain","Information Sciences",,"Category with
available data
in Eurostat",,"2.1",
"Scientific domain","Information Sciences",,"Total Yearly Salary Costs of
similar professions (data
from Eurostat)","Male",,"42.138 €"
"Scientific domain","Information Sciences",,"Total Yearly Salary Costs of
similar professions (data
from Eurostat)","Female",,"31.056 €"
"Scientific domain","Engineering Sciences",,"Total Yearly Salary Costs of
Researchers (data from the
study)","Male",,"34.316 €"
"Scientific domain","Engineering Sciences",,"Total Yearly Salary Costs of
Researchers (data from the
study)","Female",,"25.435 €"
"Scientific domain","Engineering Sciences",,"Equivalent(s)
profession(s)
defined by
ISCO
classification",,"2.1.4",
"Scientific domain","Engineering Sciences",,"Category with
available data
in Eurostat",,"2.1",
"Scientific domain","Engineering Sciences",,"Total Yearly Salary Costs of
similar professions (data
from Eurostat)","Male",,"42.138 €"
"Scientific domain","Engineering Sciences",,"Total Yearly Salary Costs of
similar professions (data
from Eurostat)","Female",,"31.056 €"
"Scientific domain","Environment and Geosciences",,"Total Yearly Salary Costs of
Researchers (data from the
study)","Male",,"29.210 €"
"Scientific domain","Environment and Geosciences",,"Total Yearly Salary Costs of
Researchers (data from the
study)","Female",,"14.847 €"
"Scientific domain","Environment and Geosciences",,"Equivalent(s)
profession(s)
defined by
ISCO
classification",,"2.1.4",
"Scientific domain","Environment and Geosciences",,"Category with
available data
in Eurostat",,"2.1",
"Scientific domain","Environment and Geosciences",,"Total Yearly Salary Costs of
similar professions (data
from Eurostat)","Male",,"42.138 €"
"Scientific domain","Environment and Geosciences",,"Total Yearly Salary Costs of
similar professions (data
from Eurostat)","Female",,"31.056 €"
