"1",,,,,
"Impacts on participating teachers","Foreign language competence",,"Difficulties encountered with respect to","Lack of interest/
acceptance from
colleagues","-0,0545"
"Impacts on participating teachers","Foreign language competence",,"Difficulties encountered with respect to","Lack of interest of
pupils","-0,0997"
"Impacts on participating teachers","Foreign language competence",,"Difficulties encountered with respect to","Lack of interest of
parents","-0,0519"
"Impacts on participating teachers","Social skills and personal commitment",,"Difficulties encountered with respect to","Lack of interest/
acceptance from
colleagues","-0,2558"
"Impacts on participating teachers","Social skills and personal commitment",,"Difficulties encountered with respect to","Lack of interest of
pupils","-0,2235"
"Impacts on participating teachers","Social skills and personal commitment",,"Difficulties encountered with respect to","Lack of interest of
parents","-0,1302"
"Impacts on participating teachers","Professional knowledge and abilities",,"Difficulties encountered with respect to","Lack of interest/
acceptance from
colleagues","-0,2145"
"Impacts on participating teachers","Professional knowledge and abilities",,"Difficulties encountered with respect to","Lack of interest of
pupils","-0,2319"
"Impacts on participating teachers","Professional knowledge and abilities",,"Difficulties encountered with respect to","Lack of interest of
parents","-0,1003"
"Impacts on the school as a whole","European/International dimension of the
school",,"Difficulties encountered with respect to","Lack of interest/
acceptance from
colleagues","-0,2438"
"Impacts on the school as a whole","European/International dimension of the
school",,"Difficulties encountered with respect to","Lack of interest of
pupils","-0,1945"
"Impacts on the school as a whole","European/International dimension of the
school",,"Difficulties encountered with respect to","Lack of interest of
parents","-0,1030"
"Impacts on the school as a whole","School climate",,"Difficulties encountered with respect to","Lack of interest/
acceptance from
colleagues","-0,2976"
"Impacts on the school as a whole","School climate",,"Difficulties encountered with respect to","Lack of interest of
pupils","-0,1810"
"Impacts on the school as a whole","School climate",,"Difficulties encountered with respect to","Lack of interest of
parents","-0,1012"
"Impacts on the school as a whole","Innovation in teaching and school
management",,"Difficulties encountered with respect to","Lack of interest/
acceptance from
colleagues","-0,2586"
"Impacts on the school as a whole","Innovation in teaching and school
management",,"Difficulties encountered with respect to","Lack of interest of
pupils","-0,2557"
"Impacts on the school as a whole","Innovation in teaching and school
management",,"Difficulties encountered with respect to","Lack of interest of
parents","-0,0928"
"Impacts on the school as a whole","Training of teachers",,"Difficulties encountered with respect to","Lack of interest/
acceptance from
colleagues","-0,1839"
"Impacts on the school as a whole","Training of teachers",,"Difficulties encountered with respect to","Lack of interest of
pupils","-0,1703"
"Impacts on the school as a whole","Training of teachers",,"Difficulties encountered with respect to","Lack of interest of
parents","-0,0518"
"Impacts on the school as a whole","Involvement of external actors in the every
day school-life",,"Difficulties encountered with respect to","Lack of interest/
acceptance from
colleagues","-0,2346"
"Impacts on the school as a whole","Involvement of external actors in the every
day school-life",,"Difficulties encountered with respect to","Lack of interest of
pupils","-0,2343"
"Impacts on the school as a whole","Involvement of external actors in the every
day school-life",,"Difficulties encountered with respect to","Lack of interest of
parents","-0,2237"
"Impacts on the school as a whole","International mobility of pupils",,"Difficulties encountered with respect to","Lack of interest/
acceptance from
colleagues","**"
"Impacts on the school as a whole","International mobility of pupils",,"Difficulties encountered with respect to","Lack of interest of
pupils","**"
"Impacts on the school as a whole","International mobility of pupils",,"Difficulties encountered with respect to","Lack of interest of
parents","-0,0583"
