"0",,,,,
"Counterpart of special drawing rights allocated by the IMF",,"17 February 2012 ",,"55,942",
"Counterpart of special drawing rights allocated by the IMF",,"24 February 2012 ",,"55,942",
"Counterpart of special drawing rights allocated by the IMF",,"2 March 2012",,"55,942",
"Other liabilities",,"10 February 2012 ",,"214,318",
"Other liabilities",,"17 February 2012 ",,"212,316",
"Other liabilities",,"24 February 2012 ",,"215,914",
"Other liabilities",,"2 March 2012",,"213,100",
"Revaluation accounts",,"10 February 2012 ",,"394,028",
"Revaluation accounts",,"17 February 2012 ",,"394,029",
"Revaluation accounts",,"24 February 2012 ",,"394,029",
"Revaluation accounts",,"2 March 2012",,"394,029",
"Capital and reserves",,"10 February 2012 ",,"81,877",
"Capital and reserves",,"17 February 2012 ",,"81,657",
"Capital and reserves",,"24 February 2012 ",,"81,990",
"Capital and reserves",,"2 March 2012",,"82,990",
"Total liabilities",,"10 February 2012 ",,"2,655,784",
"Total liabilities",,"17 February 2012 ",,"2,663,261",
"Total liabilities",,"24 February 2012 ",,"2,692,598",
"Total liabilities",,"2 March 2012",,"3,023,159",
