"0",,,,,
"Federal Department or Agency","National Aeronautics and Space
Administration (NASA)",,"FY 2000
Actual
($M)",,"5 "
"Federal Department or Agency","National Aeronautics and Space
Administration (NASA)",,"FY 2001
Actual
($M)",,"22 "
"Federal Department or Agency","National Aeronautics and Space
Administration (NASA)",,"FY 2002
Actual
($M)",,"35 "
"Federal Department or Agency","National Aeronautics and Space
Administration (NASA)",,"FY 2003
Actual
($M)",,"36 "
"Federal Department or Agency","National Aeronautics and Space
Administration (NASA)",,"FY 2004
Actual
($M)",,"47 "
"Federal Department or Agency","National Aeronautics and Space
Administration (NASA)",,"FY 2005 
Estimate
($M)",,"45 "
"Federal Department or Agency","National Aeronautics and Space
Administration (NASA)",,"FY 2006
Request
($M)",,"32"
"Federal Department or Agency","National Institute for Occupational
Safety and Health (NIOSH)",,"FY 2000
Actual
($M)",,"- "
"Federal Department or Agency","National Institute for Occupational
Safety and Health (NIOSH)",,"FY 2001
Actual
($M)",,"- "
"Federal Department or Agency","National Institute for Occupational
Safety and Health (NIOSH)",,"FY 2002
Actual
($M)",,"- "
"Federal Department or Agency","National Institute for Occupational
Safety and Health (NIOSH)",,"FY 2003
Actual
($M)",,"- "
"Federal Department or Agency","National Institute for Occupational
Safety and Health (NIOSH)",,"FY 2004
Actual
($M)",,"- "
"Federal Department or Agency","National Institute for Occupational
Safety and Health (NIOSH)",,"FY 2005 
Estimate
($M)",,"3 "
"Federal Department or Agency","National Institute for Occupational
Safety and Health (NIOSH)",,"FY 2006
Request
($M)",,"3"
"Federal Department or Agency","Environmental Protection Agency
(EPA)",,"FY 2000
Actual
($M)",,"- "
"Federal Department or Agency","Environmental Protection Agency
(EPA)",,"FY 2001
Actual
($M)",,"5 "
"Federal Department or Agency","Environmental Protection Agency
(EPA)",,"FY 2002
Actual
($M)",,"6 "
"Federal Department or Agency","Environmental Protection Agency
(EPA)",,"FY 2003
Actual
($M)",,"5 "
"Federal Department or Agency","Environmental Protection Agency
(EPA)",,"FY 2004
Actual
($M)",,"5 "
"Federal Department or Agency","Environmental Protection Agency
(EPA)",,"FY 2005 
Estimate
($M)",,"5 "
"Federal Department or Agency","Environmental Protection Agency
(EPA)",,"FY 2006
Request
($M)",,"5"
"Federal Department or Agency","Homeland Security
(TSA)",,"FY 2000
Actual
($M)",,"- "
"Federal Department or Agency","Homeland Security
(TSA)",,"FY 2001
Actual
($M)",,"- "
"Federal Department or Agency","Homeland Security
(TSA)",,"FY 2002
Actual
($M)",,"2 "
"Federal Department or Agency","Homeland Security
(TSA)",,"FY 2003
Actual
($M)",,"1 "
"Federal Department or Agency","Homeland Security
(TSA)",,"FY 2004
Actual
($M)",,"1 "
"Federal Department or Agency","Homeland Security
(TSA)",,"FY 2005 
Estimate
($M)",,"1 "
"Federal Department or Agency","Homeland Security
(TSA)",,"FY 2006
Request
($M)",,"1"
"Federal Department or Agency","Department of Agriculture
(USDA)",,"FY 2000
Actual
($M)",,"- "
"Federal Department or Agency","Department of Agriculture
(USDA)",,"FY 2001
Actual
($M)",,"- "
"Federal Department or Agency","Department of Agriculture
(USDA)",,"FY 2002
Actual
($M)",,"- "
"Federal Department or Agency","Department of Agriculture
(USDA)",,"FY 2003
Actual
($M)",,"1 "
"Federal Department or Agency","Department of Agriculture
(USDA)",,"FY 2004
Actual
($M)",,"2 "
"Federal Department or Agency","Department of Agriculture
(USDA)",,"FY 2005 
Estimate
($M)",,"3 "
"Federal Department or Agency","Department of Agriculture
(USDA)",,"FY 2006
Request
($M)",,"11"
"Federal Department or Agency","Department of Justice
(DOJ)",,"FY 2000
Actual
($M)",,"- "
"Federal Department or Agency","Department of Justice
(DOJ)",,"FY 2001
Actual
($M)",,"1 "
"Federal Department or Agency","Department of Justice
(DOJ)",,"FY 2002
Actual
($M)",,"1 "
"Federal Department or Agency","Department of Justice
(DOJ)",,"FY 2003
Actual
($M)",,"1 "
"Federal Department or Agency","Department of Justice
(DOJ)",,"FY 2004
Actual
($M)",,"2 "
"Federal Department or Agency","Department of Justice
(DOJ)",,"FY 2005 
Estimate
($M)",,"2 "
"Federal Department or Agency","Department of Justice
(DOJ)",,"FY 2006
Request
($M)",,"2 "
"TOTAL",,"FY 2000
Actual
($M)",,"270  (100%)",
"TOTAL",,"FY 2001
Actual
($M)",,"464 (172%)",
"TOTAL",,"FY 2002
Actual
($M)",,"697 (258%)",
"TOTAL",,"FY 2003
Actual
($M)",,"863 (320%)",
"TOTAL",,"FY 2004
Actual
($M)",,"989 (366%) ",
"TOTAL",,"FY 2005 
Estimate
($M)",,"1,081 (400%)",
"TOTAL",,"FY 2006
Request
($M)",,"1,054 (390%)",
