"0",,,,,,,,,
"FAC Class ","Operation & Training ",,"Area","Overseas ",,"DoD Total","PRV($M)",,"2,601.16"
"FAC Class ","Operation & Training Total",,"Owned","Count",,"2,545 ",,,
"FAC Class ","Operation & Training Total",,"Owned","PRV($M)",,"7,822.57 ",,,
"FAC Class ","Operation & Training Total",,"Leased","Count",,"14 ",,,
"FAC Class ","Operation & Training Total",,"Leased","PRV($M)",,"3.69 ",,,
"FAC Class ","Operation & Training Total",,"Other","Count",,"169 ",,,
"FAC Class ","Operation & Training Total",,"Other","PRV($M)",,"1,529.11 ",,,
"FAC Class ","Operation & Training Total",,"DoD Total","Count",,"2,728 ",,,
"FAC Class ","Operation & Training Total",,"DoD Total","PRV($M)",,"9,355.37",,,
"FAC Class ","Utility & Ground Improvements",,"Area","United States",,"Owned","Count",,"33,550 "
"FAC Class ","Utility & Ground Improvements",,"Area","United States",,"Owned","PRV($M)",,"61,812.04 "
"FAC Class ","Utility & Ground Improvements",,"Area","United States",,"Leased","Count",,"191 "
"FAC Class ","Utility & Ground Improvements",,"Area","United States",,"Leased","PRV($M)",,"40.87 "
"FAC Class ","Utility & Ground Improvements",,"Area","United States",,"Other","Count",,"1,834 "
"FAC Class ","Utility & Ground Improvements",,"Area","United States",,"Other","PRV($M)",,"3,254.29 "
"FAC Class ","Utility & Ground Improvements",,"Area","United States",,"DoD Total","Count",,"35,575 "
"FAC Class ","Utility & Ground Improvements",,"Area","United States",,"DoD Total","PRV($M)",,"65,107.19"
"FAC Class ","Utility & Ground Improvements",,"Area","Territories",,"Owned","Count",,"770 "
"FAC Class ","Utility & Ground Improvements",,"Area","Territories",,"Owned","PRV($M)",,"1,932.06 "
"FAC Class ","Utility & Ground Improvements",,"Area","Territories",,"Leased","Count",,
"FAC Class ","Utility & Ground Improvements",,"Area","Territories",,"Leased","PRV($M)",,
"FAC Class ","Utility & Ground Improvements",,"Area","Territories",,"Other","Count",,"5 "
"FAC Class ","Utility & Ground Improvements",,"Area","Territories",,"Other","PRV($M)",,"0.23 "
"FAC Class ","Utility & Ground Improvements",,"Area","Territories",,"DoD Total","Count",,"775 "
"FAC Class ","Utility & Ground Improvements",,"Area","Territories",,"DoD Total","PRV($M)",,"1,932.29"
"FAC Class ","Utility & Ground Improvements",,"Area","Overseas ",,"Owned","Count",,"5,895 "
"FAC Class ","Utility & Ground Improvements",,"Area","Overseas ",,"Owned","PRV($M)",,"5,728.46 "
"FAC Class ","Utility & Ground Improvements",,"Area","Overseas ",,"Leased","Count",,"124 "
"FAC Class ","Utility & Ground Improvements",,"Area","Overseas ",,"Leased","PRV($M)",,"19.96 "
"FAC Class ","Utility & Ground Improvements",,"Area","Overseas ",,"Other","Count",,"3,771 "
"FAC Class ","Utility & Ground Improvements",,"Area","Overseas ",,"Other","PRV($M)",,"6,288.45 "
"FAC Class ","Utility & Ground Improvements",,"Area","Overseas ",,"DoD Total","Count",,"9,790 "
"FAC Class ","Utility & Ground Improvements",,"Area","Overseas ",,"DoD Total","PRV($M)",,"12,036.88"
"FAC Class ","Utility & Ground Improvements Total",,"Owned","Count",,"40,215 ",,,
"FAC Class ","Utility & Ground Improvements Total",,"Owned","PRV($M)",,"69,472.56 ",,,
"FAC Class ","Utility & Ground Improvements Total",,"Leased","Count",,"315 ",,,
"FAC Class ","Utility & Ground Improvements Total",,"Leased","PRV($M)",,"60.83 ",,,
"FAC Class ","Utility & Ground Improvements Total",,"Other","Count",,"5,610 ",,,
"FAC Class ","Utility & Ground Improvements Total",,"Other","PRV($M)",,"9,542.97 ",,,
"FAC Class ","Utility & Ground Improvements Total",,"DoD Total","Count",,"46,140 ",,,
"FAC Class ","Utility & Ground Improvements Total",,"DoD Total","PRV($M)",,"79,076.36",,,
"Total",,"Area","United States",,"Owned","Count",,"35,687 ",
"Total",,"Area","United States",,"Owned","PRV($M)",,"68,005.35 ",
"Total",,"Area","United States",,"Leased","Count",,"205 ",
"Total",,"Area","United States",,"Leased","PRV($M)",,"44.56 ",
"Total",,"Area","United States",,"Other","Count",,"1,851 ",
"Total",,"Area","United States",,"Other","PRV($M)",,"3,277.30 ",
"Total",,"Area","United States",,"DoD Total","Count",,"37,743 ",
"Total",,"Area","United States",,"DoD Total","PRV($M)",,"71,327.21",
"Total",,"Area","Territories",,"Owned","Count",,"816 ",
"Total",,"Area","Territories",,"Owned","PRV($M)",,"2,466.24 ",
"Total",,"Area","Territories",,"Leased","Count",,,
"Total",,"Area","Territories",,"Leased","PRV($M)",,,
"Total",,"Area","Territories",,"Other","Count",,"6 ",
"Total",,"Area","Territories",,"Other","PRV($M)",,"0.24 ",
"Total",,"Area","Territories",,"DoD Total","Count",,"822 ",
"Total",,"Area","Territories",,"DoD Total","PRV($M)",,"2,466.48",
"Total",,"Area","Overseas ",,"Owned","Count",,"6,257 ",
"Total",,"Area","Overseas ",,"Owned","PRV($M)",,"6,823.54 ",
"Total",,"Area","Overseas ",,"Leased","Count",,"124 ",
"Total",,"Area","Overseas ",,"Leased","PRV($M)",,"19.96 ",
"Total",,"Area","Overseas ",,"Other","Count",,"3,922 ",
"Total",,"Area","Overseas ",,"Other","PRV($M)",,"7,794.54 ",
"Total",,"Area","Overseas ",,"DoD Total","Count",,"10,303 ",
"Total",,"Area","Overseas ",,"DoD Total","PRV($M)",,"14,638.04",
"Grand Total",,"Owned","Count",,"42,760 ",,,,
"Grand Total",,"Owned","PRV($M)",,"77,295.12 ",,,,
"Grand Total",,"Leased","Count",,"329 ",,,,
"Grand Total",,"Leased","PRV($M)",,"64.52 ",,,,
"Grand Total",,"Other","Count",,"5,779 ",,,,
"Grand Total",,"Other","PRV($M)",,"11,072.09 ",,,,
"Grand Total",,"DoD Total","Count",,"48,868 ",,,,
"Grand Total",,"DoD Total","PRV($M)",,"88,431.73",,,,
