"0",,,,,,
"Current Expenditures","Consumption expenditures ....................................................................................................................................................................................................","Defense .............................................................................................................................................................................................................................",,"2004 estimate",,"(471.2)"
"Current Expenditures","Consumption expenditures ....................................................................................................................................................................................................","Defense .............................................................................................................................................................................................................................",,"2005 estimate",,"(459.8)"
"Current Expenditures","Consumption expenditures ....................................................................................................................................................................................................","Nondefense .......................................................................................................................................................................................................................",,"2003",,"(215.5)"
"Current Expenditures","Consumption expenditures ....................................................................................................................................................................................................","Nondefense .......................................................................................................................................................................................................................",,"2004 estimate",,"(234.9)"
"Current Expenditures","Consumption expenditures ....................................................................................................................................................................................................","Nondefense .......................................................................................................................................................................................................................",,"2005 estimate",,"(252.4)"
"Current Expenditures","Current Transfer payments ...................................................................................................................................................................................................",,"2003",,"1,310.5",
"Current Expenditures","Current Transfer payments ...................................................................................................................................................................................................",,"2004 estimate",,"1,398.8",
"Current Expenditures","Current Transfer payments ...................................................................................................................................................................................................",,"2005 estimate",,"1,447.2",
"Current Expenditures","Current Transfer payments ...................................................................................................................................................................................................","Government social benefits ..............................................................................................................................................................................................",,"2003",,"(955.7)"
"Current Expenditures","Current Transfer payments ...................................................................................................................................................................................................","Government social benefits ..............................................................................................................................................................................................",,"2004 estimate",,"(1,010.1)"
"Current Expenditures","Current Transfer payments ...................................................................................................................................................................................................","Government social benefits ..............................................................................................................................................................................................",,"2005 estimate",,"(1,060.1)"
"Current Expenditures","Current Transfer payments ...................................................................................................................................................................................................","Grants to State and local governments ...........................................................................................................................................................................",,"2003",,"(333.3)"
"Current Expenditures","Current Transfer payments ...................................................................................................................................................................................................","Grants to State and local governments ...........................................................................................................................................................................",,"2004 estimate",,"(360.6)"
"Current Expenditures","Current Transfer payments ...................................................................................................................................................................................................","Grants to State and local governments ...........................................................................................................................................................................",,"2005 estimate",,"(356.5)"
"Current Expenditures","Current Transfer payments ...................................................................................................................................................................................................","To the rest of the world ....................................................................................................................................................................................................",,"2003",,"(21.5)"
"Current Expenditures","Current Transfer payments ...................................................................................................................................................................................................","To the rest of the world ....................................................................................................................................................................................................",,"2004 estimate",,"(28.1)"
"Current Expenditures","Current Transfer payments ...................................................................................................................................................................................................","To the rest of the world ....................................................................................................................................................................................................",,"2005 estimate",,"(30.6)"
"Current Expenditures","Interest payments ..................................................................................................................................................................................................................",,"2003",,"217.8",
"Current Expenditures","Interest payments ..................................................................................................................................................................................................................",,"2004 estimate",,"218.5",
"Current Expenditures","Interest payments ..................................................................................................................................................................................................................",,"2005 estimate",,"243.8",
"Current Expenditures","Subsidies ................................................................................................................................................................................................................................",,"2003",,"49.3",
"Current Expenditures","Subsidies ................................................................................................................................................................................................................................",,"2004 estimate",,"44.0",
"Current Expenditures","Subsidies ................................................................................................................................................................................................................................",,"2005 estimate",,"44.2",
"Current Expenditures","Wage disbursements less accruals ......................................................................................................................................................................................",,"2003",,"................",
"Current Expenditures","Wage disbursements less accruals ......................................................................................................................................................................................",,"2004 estimate",,"................",
"Current Expenditures","Wage disbursements less accruals ......................................................................................................................................................................................",,"2005 estimate",,"................",
"Total current expenditures .............................................................................................................................................................................................",,"2003",,"2,218.0",,
"Total current expenditures .............................................................................................................................................................................................",,"2004 estimate",,"2,367.4",,
"Total current expenditures .............................................................................................................................................................................................",,"2005 estimate",,"2,447.4",,
"Net Federal Government Saving ...................................................................................................................................................................................",,"2003",,"–387.8",,
"Net Federal Government Saving ...................................................................................................................................................................................",,"2004 estimate",,"–519.5",,
"Net Federal Government Saving ...................................................................................................................................................................................",,"2005 estimate",,"–338.0",,
